State,Total,Infected,Recovered,Deaths,Latitude,Longitude
Andhra Pradesh,6456,2958,3358,86,14.7504291,78.57002559
Arunanchal Pradesh,95,88,7,0,27.10039878,93.61660071
Assam,4310,2093,2206,8,26.7499809,94.21666744
Bihar,6662,2398,4226,38,25.78541445,87.4799727
Chandigarh,357,50,301,6,30.71999697,76.78000565
Chhattisgarh,1715,871,835,9,22.09042035,82.15998734
Delhi,42829,25002,16427,1400,28.7041,77.1025
Goa,592,507,85,0,15.491997,73.81800065
Gujarat,24104,5926,16672,1506,22.25887,71.1924
Haryana,7722,4057,3565,100,28.45000633,77.01999101
Himachal Pradesh,556,196,342,7,31.10002545,77.16659704
Jammu & Kashmir,5220,2554,2604,62,34.29995933,74.46665849
Jharkhand,1793,784,1000,9,23.80039349,86.41998572
Karnataka,7213,2982,4140,88,12.57038129,76.91999711
Kerala,2544,1348,1174,21,8.900372741,76.56999263
Ladakh,555,472,82,1,34.2996,78.2932
Madhya Pradesh,10935,2567,7903,465,21.30039105,76.13001949
Maharashtra,110744,50544,56049,4128,19.25023195,73.16017493
Manipur,490,339,151,0,24.79997,93.950002
Meghalaya,44,17,26,1,25.57049217,91.8800142
Mizoram,121,120,1,0,23.71039899,92.72001461
Odisha,4055,1187,2854,14,19.82042971,85.90001746
Punjab,3267,753,2443,71,31.51997398,75.98000281
Rajasthan,12981,2895,9785,301,26.44999921,74.63998124
Tamil Nadu,46504,20681,25344,479,12.92038576,79.15004187
Telangana,5193,2240,2766,187,18.1124,79.0193
Tripura,1089,655,433,1,23.83540428,91.27999914
Uttar Pradesh,14091,5064,8610,417,27.59998069,78.05000565
Uttarakhand,1845,620,1189,24,30.32040895,78.05000565
West Bengal,11494,5515,5494,485,22.58039044,88.32994665
Andaman & Nicobar Island,44,11,33,0,11.7401,92.6586
Lakshadweep,0,0,0,0,13.7,72.1833
Sikkim,68,63,5,0,27.533,88.5122
Nagaland,179,87,92,0,26.1584,94.5624
